status_id,ss_headlines,headline,neg,neu,pos
1405630409737397_1510818565885247,-0.5106,New York’s Pizza Rat Has Nothing on Brazil’s Drug-Smuggling Prison Rat,0.248,0.752,0
1405630409737397_1510875712546199,-0.5256,Quinceañera Vals Dances that Went Totally Wrong,0.361,0.639,0
1405630409737397_1510908355876268,-0.5994,Narcos Show Off Even after They Die,0.394,0.606,0
1405630409737397_1511104635856640,0,It’s Not a Latino Wedding if these 16 Things Don’t Happen,0,1,0
1405630409737397_1511104945856609,0,Do You Remember these Movies Michelle Rodriguez Starred In?,0,1,0
1405630409737397_1511151745851929,0.4927,There’s a Lot More Funny Stuff You Can Watch Instead of Donald Trump on SNL,0,0.803,0.197
1405630409737397_1511180572515713,-0.4767,This Poor Guy Went into a Hospital With a Headache and Doctors Found a...,0.22,0.78,0
1405630409737397_1511194849180952,0,Quiz: Which San Marcos Blanket Are You?,0,1,0
1405630409737397_1511226115844492,-0.34,George Lopez Dons his “Mexican Trump” Get-Up to Fire Some Shots at SNL,0.167,0.833,0
1405630409737397_1511274175839686,0,Flaca Can Sing! Listen to Jackie Cruz Doing a Cover of Selena’s “Como La...,0,1,0
1405630409737397_1511310675836036,-0.3182,Mexican Soldier Killed in Iraq Receives Unprecedented Honor,0.328,0.438,0.234
1405630409737397_1511418115825292,0,The Internet Cannot Contain Itself about Demi Lovato’s “Twin Sister”...,0,1,0
1405630409737397_1511449169155520,0,This Old Sofia Vergara Interview with Bill Cosby Will Totally Creep You Out,0,1,0
1405630409737397_1511487162485054,0.3612,We All have that Family Member that Treats His Car Like a Second Home,0,0.828,0.172
1405630409737397_1511522889148148,0.34,"Play these 7 Selena Songs on Repeat after a Breakup, They Will Make...",0,0.806,0.194
1405630409737397_1511558909144546,0,Questions You Always Had as a Kid About Sábado Gigante,0,1,0
1405630409737397_1511579142475856,-0.3818,"It’s Embarrassing, But Face It: All Mexicans Own These Things",0.224,0.776,0
1405630409737397_1511609259139511,-0.3597,11 Things that Make Absolutely No Sense in the Estefan’s Song “We’re All...,0.172,0.828,0
1405630409737397_1511627119137725,-0.3182,"When a Manager Bullies His Undocumented Employee, Tempers Soar",0.247,0.753,0
1405630409737397_1511706835796420,0,The Latino Guide to What Your Girlfriend Really Means When She Says This,0,1,0
1405630409737397_1511814742452296,0,15 Reasons Everyone Should Watch ‘Stand and Deliver’ Again,0,1,0
1405630409737397_1511875589112878,0,Google Translate Doesn't Know the Difference between A Clitoris and...,0,1,0
1405630409737397_1511922412441529,0.3612,J.Lo Looked Like a Quinceañera at Every Red Carpet 10 Years Ago,0,0.8,0.2
1405630409737397_1511950685772035,0,"‘Sábado Gigante’ was on the Air for 53 Years, Why Did it End in 2015?",0,1,0
1405630409737397_1512013542432416,-0.2263,See What Made Chicharito Break Out In Tears During an Interview,0.16,0.84,0
1405630409737397_1512044445762659,-0.7713,So Sad: Latino Parents Insult Themselves Without Knowing It,0.489,0.511,0
1405630409737397_1512105215756582,0,Why This Transgender Mexicana Picked This Biblical Name,0,1,0
1405630409737397_1512137159086721,0,Who Said Women Can't Hang With Men on the Soccer Field?,0,1,0
1405630409737397_1512210439079393,0,"Quiz: Ladies, What’s Your Mexican Nickname?",0,1,0
1405630409737397_1512275495739554,0.5267,Here Are 11 Sexy Latino Men with Their Kids to Give You All the Feels,0,0.805,0.195
1405630409737397_1512397899060647,0,Only a Mexican Stomach Can Survive These Snacks,0,1,0
1405630409737397_1512451719055265,0,QUIZ: Think You Can Ace the US Citizenship Quiz?,0,1,0
1405630409737397_1512494235717680,0,This Latina Shows You How to Respond to That Tía Who Call You Fat,0,1,0
1405630409737397_1512537005713403,-0.5106,9 Times Latino Shaming Failed,0.524,0.476,0
1405630409737397_1512575775709526,0.6841,QUIZ: Which OITNB Character Would Be Your BFF?,0,0.602,0.398
1405630409737397_1512594999040937,0.3612,What Would It be Like to Live In El Chavo del Ocho's Vecindad? Someone...,0,0.839,0.161
1405630409737397_1512632665703837,-0.34,The Mexican Actress from 'How to Get Away With Murder' Had Some Fun with...,0.235,0.6,0.165
1405630409737397_1512650755702028,0.1779,Things Latino Dads Say When You’re Growing Up,0,0.805,0.195
1405630409737397_1512732709027166,0.1027,Christian Grey Can’t Get You Hot and Bothered Like these Latino...,0.164,0.571,0.264
1405630409737397_1512837902349980,0,9 Quince Gowns that Prove Fútbol is a Way of Life,0,1,0
1405630409737397_1512870502346720,0,Something Washed Up On the Shore in Paraguay and People are Screaming...,0,1,0
1405630409737397_1512907909009646,-0.3818,Brazilians are Proving that They are Going to Fight Back Against Pedophilia,0.191,0.809,0
1405630409737397_1512945882339182,0.4749,"13 Latino Foods We Didn't Like As Kids, But Now We Love",0.129,0.613,0.258
1405630409737397_1512991332334637,0,15 Times Santana Lopez Said Exactly What You Were Thinking,0,1,0
1405630409737397_1513005392333231,0.6249,Bieber & Balvin Remixed “I’m Sorry” and It’s Awesome,0,0.631,0.369
1405630409737397_1513035035663600,0.3612,Here's What it Would Look Like if Famous Latinos Had Man Buns,0,0.815,0.185
1405630409737397_1513051808995256,-0.6597,This Latina is Killing It on ‘The Voice’ and Her Immigrant Parents are...,0.268,0.732,0
1405630409737397_1513097972323973,0,#LatinasAreNot Explains What We’re Really Made Of,0,1,0
1405630409737397_1513130372320733,0,9 Mexican Food Items from Whole Foods that Deserve a ‘You Tried’ Sticker,0,1,0
1405630409737397_1513215258978911,-0.7003,Crazy Revenge: How Bibi Took Down the Biggest Cartel after Her Husband...,0.367,0.633,0
1405630409737397_1513244118976025,0,15 Photos that Don’t Need Explanation if You’re Mexican,0,1,0
1405630409737397_1513282805638823,0,There is an Island in Brazil That is Completely Inhabited By Poisonous...,0,1,0
1405630409737397_1513315855635518,0.6597,15 Hilarious Signs that Show Mexicans Can’t Help But Talk S***,0,0.625,0.375
1405630409737397_1513341558966281,0,These Latino Authors will Get You through a Breakup,0,1,0
1405630409737397_1513356842298086,-0.4767,"Watch Out, Even Fake Latinos are Being Chased by Cops",0.256,0.744,0
1405630409737397_1513379272295843,0.0772,Marco Rubio Doesn’t Want to Say Whether or Not He’d Deport Undocumented...,0,0.894,0.106
1405630409737397_1513418845625219,0.2732,Quiz: How Well Do You Know the Lyrics to Selena’s “Amor Prohibido”?,0,0.84,0.16
1405630409737397_1513461088954328,-0.3612,"People Complain Latinos Don’t Always Graduate, But These Signs Point to...",0.2,0.8,0
1405630409737397_1513547795612324,0.5719,Sh*t You Get For Not Speaking Perfect Spanish,0,0.654,0.346
1405630409737397_1513575485609555,0,"If You’re Latina, You Have These 14 Types of Primas",0,1,0
1405630409737397_1513611088939328,-0.1779,11 Latino Songs You Were Obsessed with in the 90s and 00s that You’re...,0.116,0.884,0
1405630409737397_1513637145603389,-0.25,"Headaches, Hangovers and Tummy Aches: These Latino Dishes Will Make You...",0.167,0.833,0
1405630409737397_1513681582265612,0.3612,This Latina’s Abuelita Encouraged Her to Compete on ‘Project Runway’ and...,0,0.8,0.2
1405630409737397_1513702128930224,-0.4404,Things We Hate to Admit Mami was Right About,0.296,0.56,0.144
1405630409737397_1513714552262315,0.2732,Quiz: How Well Do You Know One of Shakira's First Hits?,0,0.826,0.174
1405630409737397_1513772355589868,0,How Kylie Stole the Latina Look,0,1,0
1405630409737397_1513874835579620,0,"Selena Gomez, Queen of Shade",0,1,0
1405630409737397_1513906255576478,-0.4404,Nothing Scared You More As a Kid Than Hearing Your Parents Say These...,0.209,0.791,0
1405630409737397_1513938162239954,0,Ariana Grande Does a Spot-On Shakira Impersonation,0,1,0
1405630409737397_1513976885569415,0,These Latina Catcalls Will Make You Cringe – And You’ve Probably Heard...,0,1,0
1405630409737397_1514005778899859,-0.6633,QUIZ: How FURIOUS are You?,0.526,0.474,0
1405630409737397_1514022128898224,0,Christina Milian Does Not Have Time for You to Objectify Her Afro-Latina...,0,1,0
1405630409737397_1514044335562670,0.4019,You Couldn’t Go to a Family Party Without Hearing All This Sh*t From Mom,0,0.816,0.184
1405630409737397_1514056335561470,-0.6597,"Interracial Couple Attacked by Racist Patron, Others Run to Protect Them",0.398,0.455,0.148
1405630409737397_1514085648891872,-0.5423,"Man Harasses Latinos for Papers in a Restaurant, Peoples Reactions...",0.304,0.696,0
1405630409737397_1514117395555364,0,Quiz: Can You Tell Who on the List is Latino?,0,1,0
1405630409737397_1514225198877917,0,Two of El Chapo’s Sons are Using Social Media to Show the World How...,0,1,0
1405630409737397_1514256345541469,-0.2263,Think that Gallon of Agua is Helping Your Hangover? Here’s Why You’re Wrong,0.19,0.675,0.135
1405630409737397_1514285015538602,0,Quiz: Are You Tejana Enough to be Selena Quintanilla?,0,1,0
1405630409737397_1514320755535028,0,#ShoePorn as Showcased by the Hottest Latina Weather Girls,0,1,0
1405630409737397_1514364018864035,0.34,Hold the Diamond Ring – Here’s Why I’d Never Marry in My 20s,0,0.821,0.179
1405630409737397_1514384068862030,0.4404,White People Discovering Mangoes on a Stick Inspires La Quirky Nancy,0,0.756,0.244
1405630409737397_1514428275524276,0,"Not Male, Not Female, but Muxe, Mexico’s Third Gender",0,1,0
1405630409737397_1514452702188500,-0.4767,"Quiz: Which “Mi Vida Loca” Character Are You? Sad Girl, Mousie, Whisper...",0.22,0.78,0
1405630409737397_1514504342183336,0,The Kardashians: Reimagined as Mexicanas,0,1,0
1405630409737397_1514554165511687,-0.1027,"The Hoops, Cleavage and Exaggerated Accent. Was Becky G’s Role on...",0.123,0.877,0
1405630409737397_1514692675497836,0.4215,11 Times Speaking Spanish Has Saved Your Life,0,0.714,0.286
1405630409737397_1514730195494084,0.2732,This is Why Gina Rodriguez Doesn’t Speak Spanish Well,0,0.792,0.208
1405630409737397_1514768318823605,0,"If You Can Finish a 30-Pound Burrito, This Restaurant Will Make You Part...",0,1,0
1405630409737397_1514810395486064,0.128,Operation Wetback Deported Legal U.S. Citizens During the 1950s and...,0,0.857,0.143
1405630409737397_1514845402149230,0,"Selena, Walter Mercado and El Chavo are All Illuminati, Here’s Proof",0,1,0
1405630409737397_1514862088814228,0,A Snapshot of How Much Latinos Make in the Workforce,0,1,0
1405630409737397_1514897602144010,-0.6124,First American Victim Identified in Paris Attacks Was A Proud...,0.417,0.583,0
1405630409737397_1514912425475861,-0.7506,ICYMI: The Memes after Ronda Rousey’s Loss Were Just as Brutal as Her KO,0.348,0.652,0
1405630409737397_1514945728805864,-0.4767,Proof Latino Parents Deprived Us of a Normal Childhood,0.307,0.693,0
1405630409737397_1514976512136119,0,Tacos Before Vatos: Why We Single Ladies Live By This Motto,0,1,0
1405630409737397_1515078045459299,0,"Venezuelan Reporter Yuvi Pallarés Gets Naked to Deliver the News, Like...",0,1,0
1405630409737397_1515106695456434,0,This Old Sofia Vergara Interview with Bill Cosby Will Totally Creep You Out,0,1,0
1405630409737397_1515136465453457,0.34,"Sorry Justin, Selena Gomez is Definitely Over You",0.13,0.6,0.27
1405630409737397_1515164882117282,-0.34,Watch a Who's Who of Regional Mexican Music Fire Back at Donald Trump in...,0.167,0.833,0
1405630409737397_1515200398780397,0,Chicano History Makes History in this Instagram Account,0,1,0
1405630409737397_1515236215443482,-0.3818,How Telenovelas Lied to Us About Sex,0.302,0.698,0
1405630409737397_1515303508770086,-0.5994,Mexico Has No Problem Admitting They Stole These Telenovelas,0.412,0.588,0
1405630409737397_1515390505428053,-0.5994,Narcos Show Off Even after They Die,0.394,0.606,0
1405630409737397_1515437808756656,-0.4215,You Know That Driving With a Mexican Mom Means One Thing: Stress,0.219,0.781,0
1405630409737397_1515540998746337,0,The Blaxican Experience Is Real and this Instagram Account Breaks It Down,0,1,0
1405630409737397_1515572018743235,-0.886,"Rape, Murder, Kidnapping: The Reality of Teenage Girls in El Salvador",0.511,0.489,0
1405630409737397_1515587568741680,-0.7845,11 Mexican Horror Story Photos that Will Instantly Put Fear in Your Heart,0.385,0.615,0
1405630409737397_1515635802070190,0.4588,These Are The Latinas You’re Glad You Left In the Past,0,0.769,0.231
1405630409737397_1515690802064690,0,Someone at LAX was Busted for Bringing in 450 ‘Illegal Tamales’ from Mexico,0,1,0
1405630409737397_1515708165396287,0,The Factual Reason Why Latinos Just Won't Diet,0,1,0
1405630409737397_1515737108726726,0,"If Selena Q. Had an Instagram, Here's How She Would Caption",0,1,0
1405630409737397_1515808388719598,0,What if Latin America’s Most Famous Mustaches were Shaved Off?,0,1,0
1405630409737397_1515882952045475,0.0258,"J.Lo, Demi, and Paulina Make the List for Best and Worst dressed at the...",0.202,0.591,0.207
1405630409737397_1516029475364156,-0.3612,11 Things Latinos Need to Stop Apologizing For,0.368,0.632,0
1405630409737397_1516076322026138,-0.7906,‘Humans of New York’ Just Featured a Latina Who Broke the Cycle of Abuse,0.389,0.611,0
1405630409737397_1516127638687673,-0.4201,The Most Ridiculous Things Our Parents Told Us NOT to Do Because “Eso No...,0.177,0.823,0
1405630409737397_1516214442012326,0,7 Quotes from La Doña María Félix that Will Get You through the Week,0,1,0
1405630409737397_1516254725341631,0,Vampires are Real and These Latinos are Proof of their Existence,0,1,0
1405630409737397_1516272625339841,0.3612,This Kid from Compton Sings Corridos Like a Mexican,0,0.737,0.263
1405630409737397_1516321888668248,0,These Latina Catcalls Will Make You Cringe – And You’ve Probably Heard...,0,1,0
1405630409737397_1516413971992373,0,Photos that Prove Selena Q. Wore It First,0,1,0
1405630409737397_1516467718653665,0.4588,Time Warp: What Happened at the 2005 Latin Grammy Awards,0,0.75,0.25
1405630409737397_1516595228640914,0,You Never Say These Things to a Latina You’re Dating,0,1,0
1405630409737397_1516637478636689,-0.6249,Worst Questions Latino Vegans Get Asked,0.451,0.549,0
1405630409737397_1516681075298996,-0.8402,The Terrifying Real-Life Story of the Mexican Serial Killer Called ‘La...,0.471,0.529,0
1405630409737397_1516729868627450,0.0258,"Child Treats Latina Nanny Like Dirt in Public, these Adults Won’t Have It",0.151,0.692,0.157
1405630409737397_1516773831956387,0,Listen to this Kid Do Acapella Covers of 'Za Za Za' and 'Tragos Amargos...,0,1,0
1405630409737397_1516793871954383,0,11 Things Only a Person From a Big Latino Family Will Understand,0,1,0
1405630409737397_1516833458617091,0.4019,13 Photos of Hilarious Store Names that Prove Mexicans DGAF,0,0.769,0.231
1405630409737397_1516853681948402,0,Things Your Parents Said Every Time You Went Out,0,1,0
1405630409737397_1516892511944519,0,Quiz: Which “Rebelde” Character Are You?,0,1,0
1405630409737397_1516934198607017,0,15 Latino Desserts You Should Totally Bring This Friendsgiving,0,1,0
1405630409737397_1517077935259310,0,Quiz: Let’s See if We Can Guess Your Personality Based on Selena’s Bras,0,1,0
1405630409737397_1517168331916937,-0.3182,"Your Office Might be Boring, Unless There are Some Latinos, Here’s Why",0.173,0.827,0
1405630409737397_1517217818578655,-0.34,Chingo Bling is Back as Canelo Álvarez and He’s Firing Shots at Miguel...,0.167,0.833,0
1405630409737397_1517254808574956,0,Role Reversal: White Actors Asked to Act More White by a Latino,0,1,0
1405630409737397_1517270308573406,0,Why This Afro-Latina Came to Terms with Being Black,0,1,0
1405630409737397_1517300978570339,0,Is ‘Narcos’ Even Close Real? This Colombian that Grew Up During the Time...,0,1,0
1405630409737397_1517319398568497,0,Things You Find in Every Mexican Kitchen,0,1,0
1405630409737397_1517356561898114,0.6369,Signs You’re Too in Love with Chile,0,0.588,0.412
1405630409737397_1517404555226648,-0.7713,"This Prison is So Dangerous, Even the Guards Won’t Go In",0.426,0.574,0
1405630409737397_1517533625213741,0.2732,Try this Fashion Trend: Chola Chic,0,0.704,0.296
1405630409737397_1517576818542755,0,Emoji Texts Only Latinos Understand,0,1,0
1405630409737397_1517619395205164,0,Quiz: Are You a Chancla or Tacón?,0,1,0
1405630409737397_1517664348534002,-0.3818,"From Funerals to Hospital Visits, 11 Times Latinos Overshared Via Selfies",0.206,0.794,0
1405630409737397_1517705401863230,-0.128,Drought in Mexico Exposes a 16th Century Church,0.2,0.8,0
1405630409737397_1517727118527725,0,"When Mexican Sugar Skulls Take Over American Pop Icons, Something Really...",0,1,0
1405630409737397_1517763675190736,0.3875,A Spider That Eats Birds Is The Least Scary of these Bugs From Latin...,0,0.82,0.18
1405630409737397_1517781355188968,0,My Life Began When My Brother Took His,0,1,0
1405630409737397_1517817541852016,0,Proof All These Trendy Hipster Foods Were Basically Invented By Our...,0,1,0
1405630409737397_1517855135181590,0,YouTube Star Miranda Sings Tries Mexican Candies and Isn’t Afraid to...,0,1,0
1405630409737397_1517972488503188,0,Quiz: Which San Marcos Blanket Are You?,0,1,0
1405630409737397_1518005708499866,0,The Latino Guide to What Your Girlfriend Really Means When She Says This,0,1,0
1405630409737397_1518039921829778,-0.7713,So Sad: Latino Parents Insult Themselves Without Knowing It,0.489,0.511,0
1405630409737397_1518079145159189,0,These Songs in Spanish Take on an Entirely Different Meaning When You’re...,0,1,0
1405630409737397_1518113101822460,0.1779,Things Latino Dads Say When You’re Growing Up,0,0.805,0.195
1405630409737397_1518128218487615,-0.3818,First Gay Couple Gets Legally Married and then are Forced to Annul in...,0.195,0.714,0.091
1405630409737397_1518160085151095,0,9 Things Jennifer Lopez’s Outfits Reminded Us of During the AMAs,0,1,0
1405630409737397_1518173778483059,0,Quiz: Can You Guess the Lotería Card Just By Looking at a Piece of It?,0,1,0
1405630409737397_1518209618479475,-0.25,Latino Birthday Parties are Only a Humiliation for the Birthday Kid,0.257,0.556,0.188
1405630409737397_1518224901811280,0,Mexican Dogs being Kept on Roofs in Mexico,0,1,0
1405630409737397_1518258041807966,0.1027,Christian Grey Can’t Get You Hot and Bothered Like these Latino...,0.164,0.571,0.264
1405630409737397_1518340765133027,-0.5106,New York’s Pizza Rat Has Nothing on Brazil’s Drug-Smuggling Prison Rat,0.248,0.752,0
1405630409737397_1518372871796483,0,Someone on Airbnb Will Get to Stay in El Chavo del Ocho’s Vecindad,0,1,0
1405630409737397_1518429808457456,0,"Quiz: Who Said It? Republican, Democrat or Celebrity?",0,1,0
1405630409737397_1518457711787999,0,More Mexicans Leaving than Coming to U.S.,0,1,0
1405630409737397_1518485008451936,0.7964,Leslie Hornado Showed Up at Her Mom’s House with the Best Thanksgiving Gift,0,0.608,0.392
1405630409737397_1518544375112666,0,Quiz: Are You a Café de Olla or a Pumpkin Spice Latte?,0,1,0
1405630409737397_1518574051776365,0.4404,Students Respond to Trump Supporters Who Tried Shaming Latinos,0,0.734,0.266
1405630409737397_1518628255104278,0,Expectations Guys Have of Their Latina GFs,0,1,0
1405630409737397_1518757078424729,-0.2732,This Female Soccer Player Disguised Herself as a Man to Show a Few Guys...,0.16,0.84,0
1405630409737397_1518898385077265,0,11 Quotes from ‘The Alchemist’ that Changed My Life,0,1,0
1405630409737397_1518961341737636,0,Moments You Know are Too Real If You Were Raised By Abuelita,0,1,0
1405630409737397_1519015361732234,0,Proof Latinos Don’t Do Thanksgiving the Basic Way,0,1,0
1405630409737397_1519099878390449,-0.2732,The People of Oaxaca Are Suing a French Fashion Designer for Stealing...,0.174,0.826,0
1405630409737397_1519116935055410,0.5423,What is NBC Thinking? Execs are Not Impressing Hispanic Lawmakers,0,0.72,0.28
1405630409737397_1519148205052283,0,A Mexican Artist Made Bear Rugs Out of Gang Members from MS-13,0,1,0
1405630409737397_1519185845048519,0,#ThanksgivingWithHispanics is the Realest Thanksgiving Depiction Ever,0,1,0
1405630409737397_1519223771711393,-0.296,This Video Shows the Humiliating Treatment of Mexican Customers and...,0.196,0.804,0
1405630409737397_1519252875041816,0.5859,"Hot, Plus-Size Latinas Redefining Beauty",0,0.513,0.487
1405630409737397_1519337135033390,-0.5118,A California Man Almost Died because of a Tapeworm Larva Living in His...,0.249,0.751,0
1405630409737397_1519384038362033,0,11 Binge-worthy Telenovelas You Need to Watch on Netflix,0,1,0
1405630409737397_1519402818360155,0,When You’re the Only One In Your Group Who Can’t Stand the Spice,0,1,0
1405630409737397_1519434941690276,-0.5574,"Beer Tasted Like Piss and Clamato Was Disgusting, But We Can’t Get...",0.347,0.511,0.142
1405630409737397_1519465848353852,0,This is What Breaks Every Latino Parents’ Heart,0,1,0
1405630409737397_1519478565019247,0.6249,Quiz: Only A True Calle 13 Fan Can Ace This Quiz,0,0.611,0.389
1405630409737397_1519503025016801,-0.5574,"20,000 People Have Died because of this in Nicaragua and El Salvador",0.247,0.753,0
1405630409737397_1519533481680422,0,These Secret Bedrooms Tell You a Lot More about Cuba,0,1,0
1405630409737397_1519555545011549,0,Band-Aids Won’t Fix Bullet Holes but these Latinas Will Always Have Your...,0,1,0
1405630409737397_1519635241670246,-0.7003,Crazy Revenge: How Bibi Took Down the Biggest Cartel after Her Husband...,0.367,0.633,0
1405630409737397_1519665615000542,0.2732,Quiz: How Well Do You Know Latino Movies? Can You Guess ‘Em By a Screenshot,0,0.861,0.139
1405630409737397_1519692028331234,0,This Restaurant is Displaying ‘Sleeping Mexican’ Statues and It’s...,0,1,0
1405630409737397_1519719944995109,0,11 Things We Learned from the Movie ‘La Bamba’,0,1,0
1405630409737397_1519746871659083,0.6249,"Latino Workers Are Making Donald Trump's ""Make America Great Again"" Hats",0,0.709,0.291
1405630409737397_1519757421658028,0.6369,8 Lyrics that are the Best F U to an Ex,0,0.625,0.375
1405630409737397_1519774918322945,0,Demi Lovato Proves She Actually CAN Sing,0,1,0
1405630409737397_1519793081654462,0,"Quiz: If You Were a Bottle of Tequila, Which Would You Be?",0,1,0
1405630409737397_1519821148318322,0.4939,Dinner Time at a Latino Family is Anything But Peaceful,0,0.714,0.286
1405630409737397_1519842201649550,0.4404,The Shady Things Mom Said Really Was For Our Own Good,0,0.775,0.225
1405630409737397_1519922084974895,0.6249,Bieber & Balvin Remixed “I’m Sorry” and It’s Awesome,0,0.631,0.369
1405630409737397_1519943618306075,0.3612,Here’s What it Would Look Like if Famous Latinos Had Man Buns,0,0.815,0.185
1405630409737397_1519970168303420,0,Quiz: We Know Which Narco Has Your Personality,0,1,0
1405630409737397_1520002231633547,0,Cubans Just Got WiFi this Year and They Already Figured Out How to Use...,0,1,0
1405630409737397_1520031928297244,0,Here’s a Breakdown of Every Type of Tío Latino that Exists,0,1,0
1405630409737397_1520051054961998,-0.4939,11 Latin American Legends Our Parents Used to Scare the Sh*t Out of Us,0.198,0.802,0
1405630409737397_1520085444958559,-0.4767,Latina Ex-Girlfriends Know Where to Hit Their Exes Where It Hurts,0.237,0.763,0
1405630409737397_1520098484957255,0,15 Times Santana Lopez Proved to Be a Master at Shutting People Down,0,1,0
